seed,numVirtualPositions,numDevices,numGens,bestCostTime,objective
1,64,10,183,14.983745,105.000000
1,64,10,178,6.022840,105.000000
1,64,10,178,1.002220,105.000000
1,64,10,170,53.111395,105.000000
1,64,10,179,2.037744,105.000000
1,64,10,179,7.120143,105.000000
1,64,10,183,0.365239,205.000000
1,64,10,183,0.671069,105.000000
1,64,10,164,1.461841,105.000000
1,64,10,180,12.696006,105.000000
1,64,10,180,3.802386,105.000000
1,64,10,176,2.696124,105.000000
1,64,10,165,4.687252,105.000000
1,64,10,168,0.731985,105.000000
1,64,10,175,6.704438,105.000000
1,64,10,175,1.713299,105.000000
1,64,10,180,6.043467,105.000000
1,64,10,180,3.204269,105.000000
1,64,10,163,4.908097,105.000000
1,64,10,176,2.439695,105.000000
1,64,10,170,4.435769,105.000000
1,64,10,172,2.472528,105.000000
1,64,10,176,5.024783,105.000000
1,64,10,170,0.653374,105.000000
1,64,10,185,1.246033,105.000000
1,64,10,178,0.344347,205.000000
1,64,10,166,7.263014,105.000000
1,64,10,172,1.500974,105.000000
1,64,10,173,0.850073,105.000000
1,64,10,180,2.185102,105.000000
1,64,20,163,25.870202,110.000000
1,64,20,161,0.327233,210.000000
1,64,20,173,0.344914,210.000000
1,64,20,166,0.385275,210.000000
1,64,20,172,4.331350,110.000000
1,64,20,171,4.660802,110.000000
1,64,20,167,17.038858,110.000000
1,64,20,170,0.931246,110.000000
1,64,20,169,3.066311,110.000000
1,64,20,170,0.331266,210.000000
1,64,20,172,1.718991,110.000000
1,64,20,163,6.137682,110.000000
1,64,20,161,1.942910,110.000000
1,64,20,162,2.275250,210.000000
1,64,20,168,0.330451,210.000000
1,64,20,169,5.628776,110.000000
1,64,20,167,1.012009,110.000000
1,64,20,171,4.938367,110.000000
1,64,20,161,0.386374,210.000000
1,64,20,171,2.303065,210.000000
1,64,20,167,3.173462,110.000000
1,64,20,170,0.363798,210.000000
1,64,20,169,14.246006,110.000000
1,64,20,169,43.136196,110.000000
1,64,20,168,1.374242,110.000000
1,64,20,168,18.350743,110.000000
